"id","item","code","name","segment","ncms"
"cest_0111500","115","01.115.00","Partes de aparelhos mecânicos de pulverizar ou dispersar","01","84249090"
"cest_0111600","116","01.116.00","Macacos manuais para veículos","01","84254910"
"cest_0111700","117","01.117.00","Caçambas, pás, ganchos e tenazes para máquinas rodoviárias","01","84314100"
"cest_0111800","118","01.118.00","Geradores de corrente alternada de potência não superior a 75 kva","01","85016100"
"cest_0111900","119","01.119.00","Aparelhos elétricos para alarme de uso automotivo","01","85311090"
"cest_0112000","120","01.120.00","Bússolas","01","90141000"
"cest_0112100","121","01.121.00","Indicadores de temperatura","01","90251990"
"cest_0112200","122","01.122.00","Partes de indicadores de temperatura","01","90259010"
"cest_0112300","123","01.123.00","Partes de aparelhos de medida ou controle","01","90269"
"cest_0112400","124","01.124.00","Termostatos","01","90321010"
"cest_0112500","125","01.125.00","Instrumentos e aparelhos para regulação","01","90321090"
"cest_0112600","126","01.126.00","Pressostatos","01","90322000"
"cest_0112700","127","01.127.00","Peças para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00","01","87169"
"cest_0112800","128","01.128.00","Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis","01","73229010"
"cest_0199900","999","01.999.00","Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo","01",""
"cest_0200100","1","02.001.00","Aperitivos, amargos, bitter e similares","02","2205,22089000"
"cest_0200200","2","02.002.00","Batida e similares","02","22089000"
"cest_0200300","3","02.003.00","Bebida ice","02","22089000"
"cest_0200400","4","02.004.00","Cachaça e aguardentes","02","220720,22084000"
"cest_0200500","5","02.005.00","Catuaba e similares","02","2205,22060090,22089000"
"cest_0200600","6","02.006.00","Conhaque, brandy e similares","02","22082000"
"cest_0200700","7","02.007.00","Cooler","02","22060090,22089000"
"cest_0200800","8","02.008.00","Gim (gin) e genebra","02","22085000"
"cest_0200900","9","02.009.00","Jurubeba e similares","02","2205,22060090,22089000"
"cest_0201000","10","02.010.00","Licores e similares","02","22087000"
"cest_0201100","11","02.011.00","Pisco","02","22082000"
"cest_0201200","12","02.012.00","Rum","02","22084000"
"cest_0201300","13","02.013.00","Saquê","02","22060090"
"cest_0201400","14","02.014.00","Steinhaeger","02","22089000"
"cest_0201500","15","02.015.00","Tequila","02","22089000"
"cest_0201600","16","02.016.00","Uísque","02","22083"
"cest_0201700","17","02.017.00","Vermute e similares","02","2205"
"cest_0201800","18","02.018.00","Vodka","02","22086000"
"cest_0201900","19","02.019.00","Derivados de vodka","02","22089000"
"cest_0202000","20","02.020.00","Arak","02","22089000"
"cest_0202100","21","02.021.00","Aguardente vínica / grappa","02","22082000"
"cest_0202200","22","02.022.00","Sidra e similares","02","22060010"
